Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2015,73,Melbourne (CBD),0,0,0,0,419,0,0,0,0,15,0,0,0,,841,,0,0,0,0,1308
2015,74,Melbourne (CBD),0,422,0,14,516,0,273,0,59,296,43,17,15,48,,67,0,107,,,1919
2015,76,Melbourne (CBD),0,,0,57,,,,0,30,416,174,1132,,81,,,0,693,,0,5248
2015,77,Melbourne (CBD),,,0,,103,0,,0,275,121,,1139,0,33,0,,0,11,,0,2118
2015,78,Melbourne (CBD),0,,0,,,0,0,0,2778,148,,,,9,4008,12,0,28,0,0,12168
2015,81,Melbourne (CBD),,0,0,0,,0,291,0,0,97,0,0,0,0,0,0,0,22,0,0,451
2015,82,Melbourne (CBD),0,,0,,2100,,49,,209,59,,418,0,20,1184,,0,,120,0,4331
2015,83,Melbourne (CBD),0,0,0,,0,,,0,0,37,0,0,0,9,,0,0,0,0,0,702
2015,84,Melbourne (CBD),0,12,0,0,221,39,137,,34,108,0,,,125,0,,0,62,0,,787
2015,85,Melbourne (CBD),,119,0,,146,,0,,2181,1338,116,653,,171,1297,,0,1477,,0,7648
2015,86,Melbourne (CBD),0,0,0,,0,0,0,0,0,,0,,0,48,0,0,0,,0,0,476
2015,566,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,87,Melbourne (CBD),,,0,0,419,,136,,,159,0,0,0,22,0,23,0,,0,,4532
2015,88,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,,0,0,56
2015,91,West Melbourne (Residential),0,135,,0,126,0,29,,,30,,,,21,0,,0,,0,20,433
2015,92,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,93,Melbourne (CBD),,,0,,485,,68,0,545,49,0,0,0,173,774,,0,,0,,2442
2015,94,Melbourne (CBD),,0,0,0,574,,,0,,59,0,,0,57,,23,0,84,0,0,3421
2015,95,Melbourne (CBD),,74,0,,54,,449,0,11,280,55,,,38,0,,,76,0,0,1129
2015,96,Melbourne (CBD),0,,0,88,0,0,2673,0,,11,34,,0,,,0,0,0,0,0,2953
2015,97,Melbourne (CBD),43,,0,16,55,,,0,,40,0,350,0,25,0,,0,,0,0,687
2015,98,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2015,101,West Melbourne (Residential),0,0,0,0,,0,,,0,30,0,,116,14,0,0,0,0,0,0,287
2015,103,Melbourne (CBD),246,0,0,0,37,,,,,16,,0,0,353,0,,0,0,0,0,721
2015,104,Melbourne (CBD),38,,0,0,31,0,48,,,91,,0,,23,0,0,,19,0,0,281
2015,105,Melbourne (CBD),0,,0,,177,,1041,0,0,68,,0,0,0,,0,,17,,0,1424
2015,107,Melbourne (CBD),,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,80
2015,111,West Melbourne (Residential),,,0,,13,0,,0,,0,0,0,0,9,,0,0,,,,173
2015,113,Melbourne (CBD),0,,0,,0,0,0,,0,146,,0,15,6,0,,0,784,7,,1077
2015,114,Melbourne (CBD),,0,0,,67,,,0,0,202,0,0,0,,0,,0,90,0,,483
2015,115,Melbourne (CBD),71,,0,,,,203,0,,37,0,,0,,0,27,33,75,,0,1926
2015,116,Melbourne (CBD),0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2015,125,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,,0,0,67
2015,131,Docklands,,0,0,,,,0,0,,73,,,0,12,3599,,0,,,0,4370
2015,201,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,202,Carlton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,203,Carlton,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,33
2015,204,Carlton,,0,0,0,0,0,108,0,0,18,0,0,0,,0,0,0,0,0,0,137
2015,205,Carlton,,0,0,,0,0,,0,0,,906,0,0,,0,0,0,,0,0,1076
2015,206,Carlton,1,,0,,19,,0,0,23,106,0,,0,22,0,,0,90,0,0,274
2015,207,Carlton,0,0,0,0,0,0,0,,0,71,,0,0,,0,0,0,100,0,,229
2015,208,Carlton,0,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,19
2015,209,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2015,210,Carlton,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,211,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2015,212,Carlton,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,49
2015,213,Carlton,0,0,0,,0,0,,,0,0,,0,0,,,0,0,0,0,0,105
2015,214,Carlton,,,0,0,33,0,0,0,0,,,0,4,,0,0,0,19,0,,88
2015,215,Carlton,0,0,,,0,0,0,0,0,32,,0,0,,,,0,9,,0,74
2015,216,Carlton,0,0,0,0,,0,0,0,,37,0,0,,47,0,0,,32,0,,145
2015,217,Carlton,0,,0,,,,0,0,0,155,27,,,30,0,0,0,228,0,0,613
2015,218,Carlton,,18,0,19,93,,,0,28,213,29,,,59,0,7,0,73,0,0,616
2015,219,Carlton,,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,,0,0,42
2015,220,Carlton,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14
2015,221,Carlton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,222,Carlton,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,23
2015,223,Carlton,,0,0,0,,0,0,0,0,,19,0,0,7,0,,0,12,0,0,65
2015,224,Carlton,0,0,0,0,31,0,0,0,,,8,0,80,,0,,0,11,0,0,170
2015,225,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,19
2015,226,Carlton,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,31
2015,227,Carlton,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,8
2015,567,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,228,Carlton,0,0,0,,,0,0,0,0,,,0,0,,,0,0,0,0,0,75
2015,229,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2015,230,Carlton,0,,0,,0,0,0,0,0,,,0,0,4,0,0,0,,0,,23
2015,231,Carlton,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2015,232,Carlton,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,25
2015,233,Carlton,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2015,234,Carlton,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,12
2015,235,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2015,236,Carlton,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,9
2015,237,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2015,238,Carlton,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2015,239,Carlton,0,0,0,0,87,0,,0,,21,62,,0,,0,0,0,,0,,485
2015,240,Carlton,0,0,0,0,,0,730,0,0,21,,0,0,0,0,0,0,0,0,0,761
2015,241,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2015,242,Carlton,,0,0,,59,0,517,0,,,,,0,0,0,,0,0,0,0,649
2015,243,Carlton,46,0,,0,,,234,0,0,61,14,0,,,0,0,0,,0,,492
2015,244,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2015,245,Carlton,0,,0,0,74,0,,0,,72,,0,0,,0,,0,10,0,47,269
2015,246,Carlton,,0,0,0,16,0,,0,0,186,,0,,,0,0,0,17,0,,254
2015,247,Carlton,,,0,,266,,,0,42,110,68,0,0,48,,0,0,,0,0,1007
2015,248,Carlton,11,0,0,0,12,0,,0,0,,,0,0,48,0,,0,0,0,0,122
2015,249,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2
2015,250,Carlton,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,593
2015,251,Carlton,0,0,0,0,35,0,0,0,163,,173,0,0,102,,,0,0,0,,623
2015,252,Carlton,,,0,0,44,7,,,9,172,13,,,24,0,,0,13,0,,328
2015,253,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,254,Carlton,0,,0,0,34,,,0,,68,33,,0,99,,0,0,,,0,317
2015,255,Carlton,0,0,0,0,20,0,,0,,33,142,0,,90,,,0,14,0,,641
2015,256,Carlton,,,0,0,,0,106,0,0,,0,0,,,,0,0,,0,0,284
2015,257,Carlton,,0,0,0,0,0,,,0,39,271,0,,,0,0,0,,0,,811
2015,258,Carlton,0,0,0,0,,0,,0,0,,0,,,0,0,0,0,,0,0,294
2015,259,Carlton,0,0,0,0,0,0,,,0,,,,0,,0,0,0,0,0,,232
2015,260,Carlton,,29,0,0,,0,0,0,0,,,0,,,0,0,0,22,,0,148
2015,261,Carlton,0,0,0,0,35,,,0,0,0,0,,,189,0,0,0,53,0,,317
2015,262,Carlton,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,22
2015,263,Carlton,,0,0,0,44,,0,0,0,,,0,0,311,,,0,15,0,,846
2015,264,Carlton,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,,275
2015,265,Carlton,38,14,0,0,,,436,0,0,72,0,0,,131,,,0,,0,,905
2015,266,Carlton,,0,0,0,35,0,688,0,0,26,0,,,,0,0,0,0,0,0,772
2015,267,Carlton,,0,0,0,28,0,0,0,,34,15,,0,115,0,0,0,,,0,247
2015,268,Carlton,9,,0,,125,0,0,0,,,42,0,0,,0,,0,0,0,0,238
2015,269,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2015,270,Parkville,0,21,0,33,0,0,,0,,213,0,0,0,,0,0,0,52,,0,3853
2015,271,Parkville,,,,,,,,,,,,,,,,,,,,,416
2015,272,Parkville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,273,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,12
2015,274,Carlton,0,48,,258,,,,,,,,,,,,,,,,,312
2015,301,North Melbourne,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,,0,0,11
2015,568,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,302,North Melbourne,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
2015,303,North Melbourne,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,21
2015,304,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,
2015,305,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,306,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2015,307,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,308,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,309,North Melbourne,0,,0,,31,0,0,,,,0,0,,11,0,0,,0,0,,66
2015,310,North Melbourne,0,0,0,0,13,0,0,0,0,0,0,0,62,0,0,,0,,0,,99
2015,311,North Melbourne,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,312,North Melbourne,0,0,0,0,,,0,,0,,0,0,0,0,0,0,0,0,0,,51
2015,313,North Melbourne,0,0,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,146
2015,314,North Melbourne,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,128
2015,315,North Melbourne,0,0,0,183,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,183
2015,316,North Melbourne,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2015,317,North Melbourne,0,0,0,0,0,0,0,0,0,,0,0,0,19,0,0,0,0,,0,38
2015,318,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,
2015,319,North Melbourne,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,141
2015,320,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,321,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,322,North Melbourne,0,,,,,,,,,,,,,16,,,,,,,63
2015,323,North Melbourne,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,188
2015,324,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,325,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,326,North Melbourne,0,0,0,,0,0,0,0,0,9,0,0,0,,0,0,0,,0,0,18
2015,327,North Melbourne,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,21
2015,328,North Melbourne,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,329,North Melbourne,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,94
2015,330,North Melbourne,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2015,331,North Melbourne,0,0,0,0,,0,0,0,0,0,0,,,41,0,0,,0,,,82
2015,332,North Melbourne,0,,0,,,0,,0,,0,0,0,19,,0,0,0,0,,0,62
2015,333,North Melbourne,0,0,0,0,37,0,0,0,0,,,,0,8,0,,0,9,0,,173
2015,334,North Melbourne,0,0,0,0,37,0,0,0,,,12,0,,,0,0,0,,,,148
2015,335,North Melbourne,0,0,0,0,85,14,0,0,,29,,,9,,,0,0,14,0,20,203
2015,336,North Melbourne,0,0,0,0,25,,0,0,0,0,0,,,,0,0,0,0,,,60
2015,337,North Melbourne,0,,0,0,0,27,0,,0,0,0,,0,,0,0,0,27,,30,118
2015,338,North Melbourne,0,0,0,0,0,,0,0,0,,0,0,54,,0,0,0,0,0,0,70
2015,339,North Melbourne,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,24
2015,340,North Melbourne,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,,18
2015,341,North Melbourne,0,0,0,,,0,0,0,0,,0,0,0,,,0,0,0,0,25,177
2015,342,North Melbourne,0,0,0,0,24,,,0,0,0,0,0,,,,0,0,14,0,,80
2015,343,North Melbourne,0,0,0,,12,,,0,0,0,,0,,,,0,0,,0,,125
2015,344,North Melbourne,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,108
2015,345,North Melbourne,0,,0,33,,0,,,26,112,20,,,40,0,9,0,43,,0,377
2015,346,North Melbourne,0,0,0,0,5,,0,0,,34,,0,,14,0,,0,22,,0,105
2015,347,North Melbourne,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,11
2015,348,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2015,349,North Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,350,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,351,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,352,North Melbourne,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2015,353,North Melbourne,,0,0,0,,0,,0,0,,133,0,,,0,0,0,,0,0,216
2015,354,North Melbourne,0,23,0,18,34,,0,0,0,98,23,,,39,0,,0,79,,14,386
2015,355,North Melbourne,,,0,0,79,,0,0,29,,16,,,,0,0,0,,,,180
2015,356,North Melbourne,0,,0,0,,,,0,,10,0,,7,12,,0,0,27,0,,127
2015,357,North Melbourne,0,0,0,0,62,,49,0,,13,66,0,,133,0,,0,,,,398
2015,358,North Melbourne,,0,0,0,,0,0,0,0,,0,0,,15,0,0,0,9,19,0,376
2015,359,North Melbourne,0,35,0,,17,,,,0,0,,0,0,,,0,0,,0,,95
2015,360,North Melbourne,0,0,0,0,0,0,,0,0,35,,,0,,0,0,0,23,0,,106
2015,361,North Melbourne,0,0,0,0,32,0,0,0,0,25,0,,0,17,,0,0,,0,0,127
2015,362,North Melbourne,,,0,0,0,0,34,0,0,29,22,0,0,,0,0,0,66,0,0,176
2015,363,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,103
2015,364,North Melbourne,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,78
2015,365,North Melbourne,0,,0,,47,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,61
2015,366,North Melbourne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2015,367,North Melbourne,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,12
2015,368,North Melbourne,,0,0,0,0,0,0,0,0,,0,0,,5,0,0,0,0,0,0,30
2015,369,North Melbourne,0,0,0,0,17,0,0,0,0,23,,,,5,0,,0,,6,0,77
2015,370,North Melbourne,,0,0,0,28,,0,,0,,0,0,0,,0,0,0,,0,0,41
2015,371,North Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,372,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,373,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,374,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,375,North Melbourne,23,0,0,0,62,,,0,,22,,0,0,47,,0,0,0,0,,271
2015,376,North Melbourne,0,5,0,35,11,0,0,,0,,167,0,,18,,0,0,,,0,344
2015,377,North Melbourne,0,26,0,0,318,184,,0,0,42,159,0,0,37,0,0,0,0,0,,791
2015,378,North Melbourne,3,,0,,,0,0,0,0,,,0,0,,0,0,0,,0,0,318
2015,379,North Melbourne,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,380,North Melbourne,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,401,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
2015,402,West Melbourne (Residential),0,0,0,0,,,0,0,0,0,0,0,0,,0,0,,0,0,0,44
2015,403,West Melbourne (Residential),0,,0,0,41,,0,0,0,0,0,0,0,0,0,0,0,,,,223
2015,404,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19
2015,405,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
2015,406,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,407,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,408,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,409,West Melbourne (Residential),0,0,0,0,31,0,0,,0,,0,0,0,,0,0,0,0,,0,40
2015,410,West Melbourne (Residential),0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,46
2015,411,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,412,West Melbourne (Residential),0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,22
2015,413,West Melbourne (Residential),0,0,0,,0,,0,0,0,,0,38,,,0,0,0,0,0,,148
2015,414,West Melbourne (Residential),0,,0,0,28,0,,0,,,0,,,,0,0,,0,0,0,90
2015,415,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,
2015,416,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2015,418,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,,36
2015,419,West Melbourne (Residential),0,0,0,0,37,0,0,,,,,0,0,,0,0,0,,0,,65
2015,420,West Melbourne (Residential),,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,,80
2015,421,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,422,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2015,423,West Melbourne (Residential),0,0,0,,0,0,0,0,0,36,0,0,0,,0,0,0,16,0,0,55
